0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.455030972878575213e+01,1.455041370043076832e+01,1.455061002324844033e+01,1.455087661737962001e+01,1.455118326221184866e+01,1.455149502739936906e+01,1.455177665882224503e+01,1.455199756194637573e+01,1.455213675191250822e+01,1.455218685964042713e+01,1.455215612315080520e+01,1.455206741741082865e+01,1.455195391000569316e+01,1.455185184526932929e+01,1.455179199137101875e+01,0.000000000000000000e+00,1.885871600227619904e+00,1.867575128696616460e+00,1.832686029294962937e+00,1.784990562799827485e+00,1.731015805538762997e+00,1.680627269308116567e+00,1.646704676776218124e+00,1.642348382234450677e+00,1.674441563307473180e+00,1.737262039316715523e+00,1.818865179633906148e+00,1.907509283094094066e+00,1.994420264086420813e+00,2.074056778529210554e+00,2.143402566547461863e+00,2.201116589901507936e+00,2.246839592463756308e+00,2.280706329965838108e+00,2.303029026155026138e+00,2.314104176988301731e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.455100203739664977e+01,1.455111746396892514e+01,1.455133554171921872e+01,1.455163188438709732e+01,1.455197285842938548e+01,1.455231917112108597e+01,1.455263061348068021e+01,1.455287167347297306e+01,1.455301739568779595e+01,1.455305845681269084e+01,1.455300410194888627e+01,1.455288158526828468e+01,1.455273132110904655e+01,1.455259813177250017e+01,1.455252045203338618e+01,0.000000000000000000e+00,1.904275818142799226e+00,1.884274481910722665e+00,1.845597177616983053e+00,1.791371984893025848e+00,1.727528733847060627e+00,1.664257724431483565e+00,1.617232992829831462e+00,1.605993446906653244e+00,1.643810835403721526e+00,1.718579739433373055e+00,1.811929463023965958e+00,1.909352943037782246e+00,2.001810460085821752e+00,2.084468003440460571e+00,2.155158995920035014e+00,2.213235755032294971e+00,2.258826768016589881e+00,2.292383336850572828e+00,2.314410894855559508e+00,2.325314325820680317e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.455237498746751967e+01,1.455251447273104581e+01,1.455277835466984193e+01,1.455313758947649205e+01,1.455355156102344694e+01,1.455397189542192926e+01,1.455434784493983713e+01,1.455463315405894598e+01,1.455479385831077543e+01,1.455481578260649478e+01,1.455470977726608872e+01,1.455451236137279558e+01,1.455427998092705444e+01,1.455407685829268516e+01,1.455395899074706101e+01,0.000000000000000000e+00,1.942790088598382869e+00,1.919757400971976002e+00,1.874161651674256523e+00,1.807473880270091371e+00,1.723568291353737569e+00,1.631737289091705234e+00,1.552068981340718912e+00,1.520673972091988402e+00,1.576323342540287609e+00,1.681415852082936979e+00,1.801024777758945650e+00,1.916273149951110755e+00,2.019116727261825339e+00,2.106966823362324437e+00,2.179654950816453329e+00,2.237969463313313145e+00,2.282979947180938662e+00,2.315722954361603581e+00,2.337051833333799511e+00,2.347563514226618242e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.455440410204558432e+01,1.455458255069869011e+01,1.455492091927293785e+01,1.455538313632464842e+01,1.455591780769544563e+01,1.455646211962544179e+01,1.455694795048038870e+01,1.455731053832704447e+01,1.455749945113053023e+01,1.455749046821534520e+01,1.455729544442792900e+01,1.455696594642263619e+01,1.455658663893410143e+01,1.455625717569637878e+01,1.455606629738568714e+01,0.000000000000000000e+00,2.004447799858980694e+00,1.977912842843589036e+00,1.923925053061132706e+00,1.840896764958450449e+00,1.727631746963944170e+00,1.587147535604119586e+00,1.438720663511093401e+00,1.348397504484569964e+00,1.459483473863267156e+00,1.629832527131632069e+00,1.794584684706626909e+00,1.935709012571396492e+00,2.051533452913125721e+00,2.144749842921090721e+00,2.218651123989530571e+00,2.276137331252601648e+00,2.319533471150974524e+00,2.350611568117599859e+00,2.370646145073489031e+00,2.380461204278920384e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.455704980589999309e+01,1.455728554419291854e+01,1.455773407249157358e+01,1.455835008498243077e+01,1.455906752633617884e+01,1.455980305786619411e+01,1.456046254964023134e+01,1.456095180228705033e+01,1.456119207892461453e+01,1.456113929672788032e+01,1.456080272758427263e+01,1.456025564670000172e+01,1.455962908930201216e+01,1.455908407768361812e+01,1.455876765516956439e+01,0.000000000000000000e+00,2.092754497680378467e+00,2.063633653921128186e+00,2.002838452700166361e+00,1.904661212845874196e+00,1.759012869257052136e+00,1.550591039733112630e+00,1.267350937639401431e+00,9.747892642554398801e-01,1.283464415350449084e+00,1.583939931892060837e+00,1.811875899796234091e+00,1.980556553424848376e+00,2.106676893163438091e+00,2.201972212673208862e+00,2.274191070006858606e+00,2.328527460476161881e+00,2.368539888966232798e+00,2.396680466948731159e+00,2.414597979160420405e+00,2.423312567096886916e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.456025402285199277e+01,1.456056977148574028e+01,1.456117331689890904e+01,1.456200852455343941e+01,1.456299123262607687e+01,1.456401111370195878e+01,1.456493734369515103e+01,1.456563079728336163e+01,1.456596529127380890e+01,1.456585823521302814e+01,1.456530572708697235e+01,1.456440905065036695e+01,1.456337343636251447e+01,1.456246528407133667e+01,1.456193520144231890e+01,0.000000000000000000e+00,2.210300784182381850e+00,2.181145924210393439e+00,2.119247563782516774e+00,2.016004902913608010e+00,1.853267409089864426e+00,1.588941006279548374e+00,1.105375019280290250e+00,0.000000000000000000e+00,1.115718574723226997e+00,1.610677825829000875e+00,1.888526630339073531e+00,2.068078514451120675e+00,2.192766945178352689e+00,2.282398356380111792e+00,2.347745179494440837e+00,2.395376583661009917e+00,2.429555669864893019e+00,2.453111703378039188e+00,2.467893136631484019e+00,2.475019467421265773e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.456393580680177102e+01,1.456435925829898181e+01,1.456517344342952036e+01,1.456631125730126186e+01,1.456766859129627711e+01,1.456910249012045533e+01,1.457043327898105467e+01,1.457145571164956088e+01,1.457196556563356715e+01,1.457180671246359793e+01,1.457093564884704584e+01,1.456948297621639021e+01,1.456777096236101521e+01,1.456624840041261137e+01,1.456535230385025947e+01,0.000000000000000000e+00,2.357126977790569455e+00,2.331525092230492202e+00,2.277120872489959424e+00,2.186957490694914075e+00,2.049215735307442277e+00,1.846620509856675252e+00,1.565270748496770503e+00,1.269321591314624298e+00,1.568795721087567596e+00,1.854618266846088215e+00,2.063582511302400668e+00,2.210582716436004791e+00,2.314040242850250451e+00,2.387240745494893623e+00,2.439150389074894232e+00,2.475816685574182330e+00,2.501335333796607774e+00,2.518459884554661965e+00,2.528986700400230436e+00,2.533996467707453348e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.456798640209625084e+01,1.456854997663851314e+01,1.456964131740543067e+01,1.457118497914094313e+01,1.457305877057024190e+01,1.457508501182157090e+01,1.457702407070951445e+01,1.457857803862939505e+01,1.457941765013145208e+01,1.457924878604550045e+01,1.457792694898664010e+01,1.457559458522749019e+01,1.457275622398973347e+01,1.457018142659157256e+01,1.456864926549605777e+01,0.000000000000000000e+00,2.529687996840796593e+00,2.510838078920964112e+00,2.470881740263382920e+00,2.405611743961452831e+00,2.310133042220531951e+00,2.183158635494475419e+00,2.039854115943972257e+00,1.943291532302733327e+00,2.035613390943223688e+00,2.175522533473616349e+00,2.300720211096353829e+00,2.396756128643997119e+00,2.465703372504115531e+00,2.513511341440544999e+00,2.545939591255262258e+00,2.567547469574466223e+00,2.581653831920774245e+00,2.590551705060079257e+00,2.595743947289289810e+00,2.598130221206651935e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.457226455472022053e+01,1.457300371834200270e+01,1.457444698097712354e+01,1.457651767790214770e+01,1.457908429733841160e+01,1.458194092812158438e+01,1.458478434720474048e+01,1.458719712239842536e+01,1.458865851886350207e+01,1.458862204638698756e+01,1.458670500130054748e+01,1.458298665067298394e+01,1.457825094483801820e+01,1.457384382608424644e+01,1.457118555133257232e+01,0.000000000000000000e+00,2.721241158763865631e+00,2.711398627762169777e+00,2.690095119246693756e+00,2.654609839344172162e+00,2.602675786405040714e+00,2.536149463300315432e+00,2.467810137177578245e+00,2.428486361652494541e+00,2.454958668311352898e+00,2.511261492710091137e+00,2.567150447286191906e+00,2.610154905231910849e+00,2.638646841523351494e+00,2.655305871360880587e+00,2.663695617561935958e+00,2.666927793918250522e+00,2.667329928930037397e+00,2.666498989123847085e+00,2.665457437096216964e+00,2.664800732854182286e+00,0.000000000000000000e+00
